model,source_statements,pct_all_languages_same_lean,avg_unique_leans_across_languages,pct_all_perturbations_same_lean,avg_unique_leans_across_perturbations,final_model_agreement_pct,perturbation_model_agreement_pct
Codex gpt-5.4-mini,225,53.78,1.622,13.581111111111111,2.421666666666667,64.62,59.51
Gemma 4,225,25.33,2.107,6.268,2.7148,64.62,59.51
